date_sk	full_date	year_num	quarter_num	month_num	month_name	day_num	day_name	week_num	is_weekend	dwh_create_date
20160524	2016-05-24	2016	2	5	05	24	화요일	22	0	2026-05-13 10:16:29.780
20160525	2016-05-25	2016	2	5	05	25	수요일	22	0	2026-05-13 10:16:29.780
20160526	2016-05-26	2016	2	5	05	26	목요일	22	0	2026-05-13 10:16:29.780
20160527	2016-05-27	2016	2	5	05	27	금요일	22	0	2026-05-13 10:16:29.780
20160528	2016-05-28	2016	2	5	05	28	토요일	22	0	2026-05-13 10:16:29.780
20160529	2016-05-29	2016	2	5	05	29	일요일	23	0	2026-05-13 10:16:29.780
20160530	2016-05-30	2016	2	5	05	30	월요일	23	0	2026-05-13 10:16:29.780
20160531	2016-05-31	2016	2	5	05	31	화요일	23	0	2026-05-13 10:16:29.780
20160601	2016-06-01	2016	2	6	06	1	수요일	23	0	2026-05-13 10:16:29.780
20160602	2016-06-02	2016	2	6	06	2	목요일	23	0	2026-05-13 10:16:29.780
20160603	2016-06-03	2016	2	6	06	3	금요일	23	0	2026-05-13 10:16:29.780
20160604	2016-06-04	2016	2	6	06	4	토요일	23	0	2026-05-13 10:16:29.780
20160605	2016-06-05	2016	2	6	06	5	일요일	24	0	2026-05-13 10:16:29.780
20160606	2016-06-06	2016	2	6	06	6	월요일	24	0	2026-05-13 10:16:29.780
20160607	2016-06-07	2016	2	6	06	7	화요일	24	0	2026-05-13 10:16:29.780
20160608	2016-06-08	2016	2	6	06	8	수요일	24	0	2026-05-13 10:16:29.780
20160609	2016-06-09	2016	2	6	06	9	목요일	24	0	2026-05-13 10:16:29.780
20160610	2016-06-10	2016	2	6	06	10	금요일	24	0	2026-05-13 10:16:29.780
20160611	2016-06-11	2016	2	6	06	11	토요일	24	0	2026-05-13 10:16:29.780
20160612	2016-06-12	2016	2	6	06	12	일요일	25	0	2026-05-13 10:16:29.780
20160613	2016-06-13	2016	2	6	06	13	월요일	25	0	2026-05-13 10:16:29.780
20160614	2016-06-14	2016	2	6	06	14	화요일	25	0	2026-05-13 10:16:29.780
20160615	2016-06-15	2016	2	6	06	15	수요일	25	0	2026-05-13 10:16:29.780
20160616	2016-06-16	2016	2	6	06	16	목요일	25	0	2026-05-13 10:16:29.780
20160617	2016-06-17	2016	2	6	06	17	금요일	25	0	2026-05-13 10:16:29.780
20160618	2016-06-18	2016	2	6	06	18	토요일	25	0	2026-05-13 10:16:29.780
20160619	2016-06-19	2016	2	6	06	19	일요일	26	0	2026-05-13 10:16:29.780
20160620	2016-06-20	2016	2	6	06	20	월요일	26	0	2026-05-13 10:16:29.780
20160621	2016-06-21	2016	2	6	06	21	화요일	26	0	2026-05-13 10:16:29.780
20160622	2016-06-22	2016	2	6	06	22	수요일	26	0	2026-05-13 10:16:29.780
20160623	2016-06-23	2016	2	6	06	23	목요일	26	0	2026-05-13 10:16:29.780
20160624	2016-06-24	2016	2	6	06	24	금요일	26	0	2026-05-13 10:16:29.780
20160625	2016-06-25	2016	2	6	06	25	토요일	26	0	2026-05-13 10:16:29.780
20160626	2016-06-26	2016	2	6	06	26	일요일	27	0	2026-05-13 10:16:29.780
20160627	2016-06-27	2016	2	6	06	27	월요일	27	0	2026-05-13 10:16:29.780
20160628	2016-06-28	2016	2	6	06	28	화요일	27	0	2026-05-13 10:16:29.780
20160629	2016-06-29	2016	2	6	06	29	수요일	27	0	2026-05-13 10:16:29.780
20160630	2016-06-30	2016	2	6	06	30	목요일	27	0	2026-05-13 10:16:29.780
20160701	2016-07-01	2016	3	7	07	1	금요일	27	0	2026-05-13 10:16:29.780
20160702	2016-07-02	2016	3	7	07	2	토요일	27	0	2026-05-13 10:16:29.780
20160703	2016-07-03	2016	3	7	07	3	일요일	28	0	2026-05-13 10:16:29.780
20160704	2016-07-04	2016	3	7	07	4	월요일	28	0	2026-05-13 10:16:29.780
20160705	2016-07-05	2016	3	7	07	5	화요일	28	0	2026-05-13 10:16:29.780
20160706	2016-07-06	2016	3	7	07	6	수요일	28	0	2026-05-13 10:16:29.780
20160707	2016-07-07	2016	3	7	07	7	목요일	28	0	2026-05-13 10:16:29.780
20160708	2016-07-08	2016	3	7	07	8	금요일	28	0	2026-05-13 10:16:29.780
20160709	2016-07-09	2016	3	7	07	9	토요일	28	0	2026-05-13 10:16:29.780
20160710	2016-07-10	2016	3	7	07	10	일요일	29	0	2026-05-13 10:16:29.780
20160711	2016-07-11	2016	3	7	07	11	월요일	29	0	2026-05-13 10:16:29.780
20160712	2016-07-12	2016	3	7	07	12	화요일	29	0	2026-05-13 10:16:29.780
20160713	2016-07-13	2016	3	7	07	13	수요일	29	0	2026-05-13 10:16:29.780
20160714	2016-07-14	2016	3	7	07	14	목요일	29	0	2026-05-13 10:16:29.780
20160715	2016-07-15	2016	3	7	07	15	금요일	29	0	2026-05-13 10:16:29.780
20160716	2016-07-16	2016	3	7	07	16	토요일	29	0	2026-05-13 10:16:29.780
20160717	2016-07-17	2016	3	7	07	17	일요일	30	0	2026-05-13 10:16:29.780
20160718	2016-07-18	2016	3	7	07	18	월요일	30	0	2026-05-13 10:16:29.780
20160719	2016-07-19	2016	3	7	07	19	화요일	30	0	2026-05-13 10:16:29.780
20160720	2016-07-20	2016	3	7	07	20	수요일	30	0	2026-05-13 10:16:29.780
20160721	2016-07-21	2016	3	7	07	21	목요일	30	0	2026-05-13 10:16:29.780
20160722	2016-07-22	2016	3	7	07	22	금요일	30	0	2026-05-13 10:16:29.780
20160723	2016-07-23	2016	3	7	07	23	토요일	30	0	2026-05-13 10:16:29.780
20160724	2016-07-24	2016	3	7	07	24	일요일	31	0	2026-05-13 10:16:29.780
20160725	2016-07-25	2016	3	7	07	25	월요일	31	0	2026-05-13 10:16:29.780
20160726	2016-07-26	2016	3	7	07	26	화요일	31	0	2026-05-13 10:16:29.780
20160727	2016-07-27	2016	3	7	07	27	수요일	31	0	2026-05-13 10:16:29.780
20160728	2016-07-28	2016	3	7	07	28	목요일	31	0	2026-05-13 10:16:29.780
20160729	2016-07-29	2016	3	7	07	29	금요일	31	0	2026-05-13 10:16:29.780
20160730	2016-07-30	2016	3	7	07	30	토요일	31	0	2026-05-13 10:16:29.780
20160731	2016-07-31	2016	3	7	07	31	일요일	32	0	2026-05-13 10:16:29.780
20160801	2016-08-01	2016	3	8	08	1	월요일	32	0	2026-05-13 10:16:29.780
20160802	2016-08-02	2016	3	8	08	2	화요일	32	0	2026-05-13 10:16:29.780
20160803	2016-08-03	2016	3	8	08	3	수요일	32	0	2026-05-13 10:16:29.780
20160804	2016-08-04	2016	3	8	08	4	목요일	32	0	2026-05-13 10:16:29.780
20160805	2016-08-05	2016	3	8	08	5	금요일	32	0	2026-05-13 10:16:29.780
20160806	2016-08-06	2016	3	8	08	6	토요일	32	0	2026-05-13 10:16:29.780
20160807	2016-08-07	2016	3	8	08	7	일요일	33	0	2026-05-13 10:16:29.780
20160808	2016-08-08	2016	3	8	08	8	월요일	33	0	2026-05-13 10:16:29.780
20160809	2016-08-09	2016	3	8	08	9	화요일	33	0	2026-05-13 10:16:29.780
20160810	2016-08-10	2016	3	8	08	10	수요일	33	0	2026-05-13 10:16:29.780
20160811	2016-08-11	2016	3	8	08	11	목요일	33	0	2026-05-13 10:16:29.780
20160812	2016-08-12	2016	3	8	08	12	금요일	33	0	2026-05-13 10:16:29.780
20160813	2016-08-13	2016	3	8	08	13	토요일	33	0	2026-05-13 10:16:29.780
20160814	2016-08-14	2016	3	8	08	14	일요일	34	0	2026-05-13 10:16:29.780
20160815	2016-08-15	2016	3	8	08	15	월요일	34	0	2026-05-13 10:16:29.780
20160816	2016-08-16	2016	3	8	08	16	화요일	34	0	2026-05-13 10:16:29.780
20160817	2016-08-17	2016	3	8	08	17	수요일	34	0	2026-05-13 10:16:29.780
20160818	2016-08-18	2016	3	8	08	18	목요일	34	0	2026-05-13 10:16:29.780
20160819	2016-08-19	2016	3	8	08	19	금요일	34	0	2026-05-13 10:16:29.780
20160820	2016-08-20	2016	3	8	08	20	토요일	34	0	2026-05-13 10:16:29.780
20160821	2016-08-21	2016	3	8	08	21	일요일	35	0	2026-05-13 10:16:29.780
20160822	2016-08-22	2016	3	8	08	22	월요일	35	0	2026-05-13 10:16:29.780
20160823	2016-08-23	2016	3	8	08	23	화요일	35	0	2026-05-13 10:16:29.780
20160824	2016-08-24	2016	3	8	08	24	수요일	35	0	2026-05-13 10:16:29.780
20160825	2016-08-25	2016	3	8	08	25	목요일	35	0	2026-05-13 10:16:29.780
20160826	2016-08-26	2016	3	8	08	26	금요일	35	0	2026-05-13 10:16:29.780
20160827	2016-08-27	2016	3	8	08	27	토요일	35	0	2026-05-13 10:16:29.780
20160828	2016-08-28	2016	3	8	08	28	일요일	36	0	2026-05-13 10:16:29.780
20160829	2016-08-29	2016	3	8	08	29	월요일	36	0	2026-05-13 10:16:29.780
20160830	2016-08-30	2016	3	8	08	30	화요일	36	0	2026-05-13 10:16:29.780
20160831	2016-08-31	2016	3	8	08	31	수요일	36	0	2026-05-13 10:16:29.780
20160901	2016-09-01	2016	3	9	09	1	목요일	36	0	2026-05-13 10:16:29.780
20160902	2016-09-02	2016	3	9	09	2	금요일	36	0	2026-05-13 10:16:29.780
20160903	2016-09-03	2016	3	9	09	3	토요일	36	0	2026-05-13 10:16:29.780
20160904	2016-09-04	2016	3	9	09	4	일요일	37	0	2026-05-13 10:16:29.780
20160905	2016-09-05	2016	3	9	09	5	월요일	37	0	2026-05-13 10:16:29.780
20160906	2016-09-06	2016	3	9	09	6	화요일	37	0	2026-05-13 10:16:29.780
20160907	2016-09-07	2016	3	9	09	7	수요일	37	0	2026-05-13 10:16:29.780
20160908	2016-09-08	2016	3	9	09	8	목요일	37	0	2026-05-13 10:16:29.780
